;Item;Preço Atual (R$);Preço Ótimo (R$);Diferença (%);Quantidade Vendida Estimada;Receita Estimada (R$)
0;Americano;25,96;24,92;-4,006163328197223;205,5;5121,06
1;Americano with Milk;30,86;29,71;-3,7265068049254655;301,71;8963,8041
2;Cappuccino;35,76;35,21;-1,5380313199105067;159,48;5615,2908
3;Cocoa;35,76;34,05;-4,781879194630875;102,5;3490,1249999999995
4;Cortado;25,96;24,64;-5,084745762711865;103,73;2555,9072
5;Espresso;21,06;19,72;-6,362773029439696;48,64;959,1808
6;Hot Chocolate;35,76;34,13;-4,558165548098422;103,77;3541,6701000000003
7;Latte;35,76;33,98;-4,97762863534676;305,11;10367,637799999999
